Timestamp,Class,Confidence,X1,Y1,X2,Y2
2026-08-22 00:12:12.088,person,0.41,284,0,609,477
2026-08-22 00:12:12.155,person,0.60,20,0,640,479
2026-08-22 00:12:12.155,person,0.41,284,0,609,477
2026-08-22 00:12:12.223,person,0.72,27,0,640,479
2026-08-22 00:12:12.286,person,0.63,144,12,639,480
2026-08-22 00:12:12.286,toothbrush,0.47,222,368,343,412
2026-08-22 00:12:12.341,person,0.56,95,0,638,479
2026-08-22 00:12:12.341,toothbrush,0.27,227,365,346,412
2026-08-22 00:12:12.408,person,0.56,95,0,638,479
2026-08-22 00:12:12.408,toothbrush,0.27,227,365,346,412
2026-08-22 00:12:12.468,person,0.54,150,10,638,479
2026-08-22 00:12:12.535,person,0.67,130,20,637,479
2026-08-22 00:12:12.597,person,0.67,130,20,637,479
2026-08-22 00:12:12.658,person,0.78,57,12,640,479
2026-08-22 00:12:12.715,person,0.77,53,14,640,479
2026-08-22 00:12:12.779,person,0.77,53,14,640,479
2026-08-22 00:12:12.846,person,0.67,39,18,640,479
2026-08-22 00:12:12.846,person,0.48,223,40,639,478
2026-08-22 00:12:12.899,person,0.67,39,18,640,479
2026-08-22 00:12:12.900,person,0.48,223,40,639,478
2026-08-22 00:12:12.964,person,0.72,230,42,639,478
2026-08-22 00:12:13.027,person,0.72,230,42,639,478
2026-08-22 00:12:13.089,person,0.83,231,41,639,479
2026-08-22 00:12:13.089,chair,0.29,237,309,390,471
2026-08-22 00:12:13.154,person,0.84,232,46,639,479
2026-08-22 00:12:13.218,person,0.84,232,46,639,479
2026-08-22 00:12:13.275,person,0.83,232,48,639,479
2026-08-22 00:12:13.353,person,0.81,231,48,639,479
2026-08-22 00:12:13.406,person,0.81,231,48,639,479
2026-08-22 00:12:13.462,person,0.79,233,52,639,479
2026-08-22 00:12:13.525,person,0.81,233,52,639,479
2026-08-22 00:12:13.591,person,0.80,233,49,638,479
2026-08-22 00:12:13.650,person,0.80,233,49,638,479
2026-08-22 00:12:13.710,person,0.75,231,55,638,479
2026-08-22 00:12:13.777,person,0.78,231,53,638,479
2026-08-22 00:12:13.777,chair,0.34,235,309,391,480
2026-08-22 00:12:13.833,person,0.78,231,53,638,479
2026-08-22 00:12:13.833,chair,0.34,235,309,391,480
2026-08-22 00:12:13.899,person,0.74,229,55,638,479
2026-08-22 00:12:13.959,person,0.74,229,55,638,479
2026-08-22 00:12:14.026,person,0.78,232,61,639,479
2026-08-22 00:12:14.090,person,0.75,232,64,639,479
2026-08-22 00:12:14.149,person,0.75,232,64,639,479
2026-08-22 00:12:14.208,person,0.78,233,53,639,479
2026-08-22 00:12:14.273,person,0.81,232,63,639,479
2026-08-22 00:12:14.335,person,0.80,218,65,639,479
2026-08-22 00:12:14.391,person,0.79,232,61,639,479
2026-08-22 00:12:14.464,person,0.78,218,63,639,479
2026-08-22 00:12:14.523,person,0.78,218,63,639,479
2026-08-22 00:12:14.584,person,0.78,218,63,639,479
2026-08-22 00:12:14.649,person,0.76,221,62,639,479
2026-08-22 00:12:14.701,person,0.81,232,57,639,479
2026-08-22 00:12:14.756,person,0.81,232,57,639,479
2026-08-22 00:12:14.818,person,0.80,226,61,639,478
2026-08-22 00:12:14.879,person,0.81,231,52,639,479
2026-08-22 00:12:14.944,person,0.81,231,52,639,479
2026-08-22 00:12:15.004,person,0.81,226,62,639,479
2026-08-22 00:12:15.063,person,0.77,224,62,638,479
2026-08-22 00:12:15.131,person,0.79,223,63,639,478
2026-08-22 00:12:15.188,person,0.79,223,63,639,478
2026-08-22 00:12:15.256,person,0.78,220,62,639,479
2026-08-22 00:12:15.318,person,0.79,221,61,639,479
2026-08-22 00:12:15.378,person,0.79,221,61,639,479
2026-08-22 00:12:15.435,person,0.77,217,63,638,479
2026-08-22 00:12:15.435,chair,0.33,234,309,382,480
2026-08-22 00:12:15.504,person,0.80,215,63,639,479
2026-08-22 00:12:15.567,person,0.80,215,63,639,479
2026-08-22 00:12:15.628,person,0.75,215,61,639,479
2026-08-22 00:12:15.685,person,0.75,215,61,639,479
2026-08-22 00:12:15.748,person,0.74,232,52,639,478
2026-08-22 00:12:15.748,chair,0.31,234,310,381,480
2026-08-22 00:12:15.816,person,0.74,232,52,639,478
2026-08-22 00:12:15.816,chair,0.31,234,310,381,480
2026-08-22 00:12:15.877,person,0.79,232,55,639,478
2026-08-22 00:12:15.939,person,0.83,233,58,639,478
2026-08-22 00:12:16.001,person,0.83,233,58,639,478
2026-08-22 00:12:16.062,person,0.76,233,59,639,478
2026-08-22 00:12:16.121,person,0.76,233,59,639,478
2026-08-22 00:12:16.183,person,0.76,230,53,639,478
2026-08-22 00:12:16.256,person,0.73,227,42,639,478
2026-08-22 00:12:16.310,person,0.74,232,41,639,478
2026-08-22 00:12:16.310,chair,0.26,235,311,380,480
2026-08-22 00:12:16.377,person,0.78,232,49,639,478
2026-08-22 00:12:16.435,person,0.78,232,49,639,478
2026-08-22 00:12:16.486,person,0.76,233,55,638,478
2026-08-22 00:12:16.543,person,0.82,232,64,639,478
2026-08-22 00:12:16.610,person,0.79,228,65,638,479
2026-08-22 00:12:16.674,person,0.74,233,65,639,479
2026-08-22 00:12:16.736,person,0.74,233,65,639,479
2026-08-22 00:12:16.802,person,0.87,230,73,639,477
2026-08-22 00:12:16.858,person,0.90,231,72,639,478
2026-08-22 00:12:16.916,person,0.90,231,72,639,478
2026-08-22 00:12:16.988,person,0.87,233,61,639,479
2026-08-22 00:12:16.989,chair,0.30,234,309,382,479
2026-08-22 00:12:17.052,person,0.88,232,62,639,479
2026-08-22 00:12:17.052,chair,0.39,233,309,381,478
2026-08-22 00:12:17.105,person,0.88,232,62,639,479
2026-08-22 00:12:17.105,chair,0.39,233,309,381,478
2026-08-22 00:12:17.172,person,0.88,232,62,639,479
2026-08-22 00:12:17.172,chair,0.39,233,309,381,478
2026-08-22 00:12:17.237,person,0.87,232,63,639,479
2026-08-22 00:12:17.237,chair,0.41,233,309,382,479
2026-08-22 00:12:17.298,person,0.86,230,70,639,479
2026-08-22 00:12:17.298,chair,0.44,233,310,380,478
2026-08-22 00:12:17.350,person,0.86,230,70,639,479
2026-08-22 00:12:17.350,chair,0.44,233,310,380,478
2026-08-22 00:12:17.406,person,0.86,231,61,639,479
2026-08-22 00:12:17.406,chair,0.43,232,308,379,478
2026-08-22 00:12:17.472,person,0.86,231,61,639,479
2026-08-22 00:12:17.473,chair,0.43,232,308,379,478
2026-08-22 00:12:17.533,person,0.84,229,69,638,479
2026-08-22 00:12:17.533,chair,0.39,233,309,377,478
2026-08-22 00:12:17.591,person,0.84,232,50,639,479
2026-08-22 00:12:17.591,chair,0.32,233,308,376,479
2026-08-22 00:12:17.653,person,0.84,232,50,639,479
2026-08-22 00:12:17.653,chair,0.32,233,308,376,479
2026-08-22 00:12:17.716,person,0.85,231,49,639,479
2026-08-22 00:12:17.716,chair,0.34,233,309,373,478
2026-08-22 00:12:17.782,person,0.86,231,57,638,479
2026-08-22 00:12:17.782,chair,0.32,233,309,371,479
2026-08-22 00:12:17.842,person,0.84,233,56,639,479
2026-08-22 00:12:17.842,chair,0.46,233,309,372,479
2026-08-22 00:12:17.907,person,0.84,231,58,639,479
2026-08-22 00:12:17.964,person,0.84,231,58,639,479
2026-08-22 00:12:18.027,person,0.82,231,9,639,479
2026-08-22 00:12:18.081,person,0.82,231,9,639,479
2026-08-22 00:12:18.139,person,0.81,227,66,637,479
2026-08-22 00:12:18.199,person,0.84,232,46,639,479
2026-08-22 00:12:18.263,person,0.84,232,46,639,479
2026-08-22 00:12:18.320,person,0.80,232,34,639,479
2026-08-22 00:12:18.389,person,0.83,232,43,639,479
2026-08-22 00:12:18.449,person,0.83,232,43,639,479
2026-08-22 00:12:18.511,person,0.85,233,41,639,479
2026-08-22 00:12:18.511,chair,0.30,233,310,373,479
2026-08-22 00:12:18.574,person,0.79,233,45,638,479
2026-08-22 00:12:18.574,chair,0.31,234,311,374,480
2026-08-22 00:12:18.635,person,0.80,232,35,639,479
2026-08-22 00:12:18.635,chair,0.25,234,311,374,480
2026-08-22 00:12:18.697,person,0.80,232,35,639,479
2026-08-22 00:12:18.697,chair,0.25,234,311,374,480
2026-08-22 00:12:18.756,person,0.78,233,53,638,479
2026-08-22 00:12:18.820,person,0.81,232,52,637,479
2026-08-22 00:12:18.877,person,0.81,232,52,637,479
2026-08-22 00:12:18.945,person,0.80,232,52,634,479
2026-08-22 00:12:19.003,person,0.80,232,52,634,479
2026-08-22 00:12:19.070,person,0.80,232,18,635,479
2026-08-22 00:12:19.137,person,0.76,187,67,638,479
2026-08-22 00:12:19.137,person,0.39,35,12,636,479
2026-08-22 00:12:19.193,person,0.73,229,29,637,479
2026-08-22 00:12:19.260,person,0.68,175,68,639,479
2026-08-22 00:12:19.323,person,0.68,233,30,631,478
2026-08-22 00:12:19.380,person,0.56,227,15,626,478
2026-08-22 00:12:19.380,person,0.30,239,61,540,474
2026-08-22 00:12:19.449,cat,0.42,262,33,639,442
2026-08-22 00:12:19.507,cat,0.42,262,33,639,442
2026-08-22 00:12:19.563,cat,0.35,239,46,627,461
2026-08-22 00:12:19.621,cat,0.35,239,46,627,461
2026-08-22 00:12:19.679,person,0.65,167,57,544,478
2026-08-22 00:12:19.730,person,0.61,157,55,614,480
2026-08-22 00:12:19.730,cell phone,0.29,242,359,311,414
2026-08-22 00:12:19.790,person,0.61,157,55,614,480
2026-08-22 00:12:19.790,cell phone,0.29,242,359,311,414
2026-08-22 00:12:19.856,person,0.65,146,59,594,480
2026-08-22 00:12:19.913,person,0.73,138,58,628,480
2026-08-22 00:12:19.979,person,0.67,114,55,631,480
2026-08-22 00:12:20.041,person,0.67,114,55,631,480
2026-08-22 00:12:20.104,person,0.69,182,66,633,478
2026-08-22 00:12:20.105,person,0.29,133,60,530,479
2026-08-22 00:12:20.167,person,0.74,131,58,637,480
2026-08-22 00:12:20.229,person,0.74,131,58,637,480
2026-08-22 00:12:20.282,person,0.78,100,60,638,480
2026-08-22 00:12:20.345,person,0.78,109,62,605,478
2026-08-22 00:12:20.416,person,0.78,109,62,605,478
2026-08-22 00:12:20.476,person,0.72,95,61,633,480
2026-08-22 00:12:20.541,person,0.72,95,61,633,480
2026-08-22 00:12:20.600,person,0.49,61,62,610,466
2026-08-22 00:12:20.661,person,0.55,127,62,624,476
2026-08-22 00:12:20.661,person,0.28,61,154,588,479
2026-08-22 00:12:20.727,person,0.49,107,18,608,478
2026-08-22 00:12:20.727,person,0.31,146,62,516,433
2026-08-22 00:12:20.727,person,0.29,62,96,556,478
2026-08-22 00:12:20.789,person,0.56,155,13,633,478
2026-08-22 00:12:20.847,person,0.56,155,13,633,478
2026-08-22 00:12:20.976,person,0.43,153,34,633,476
2026-08-22 00:12:21.034,person,0.43,153,34,633,476
2026-08-22 00:12:21.099,person,0.52,146,47,626,477
2026-08-22 00:12:21.158,person,0.52,146,47,626,477
2026-08-22 00:12:21.280,person,0.60,159,57,636,476
2026-08-22 00:12:21.345,person,0.75,136,53,638,477
2026-08-22 00:12:21.409,person,0.67,134,53,631,478
2026-08-22 00:12:21.465,person,0.67,134,53,631,478
2026-08-22 00:12:21.518,person,0.76,132,58,639,477
2026-08-22 00:12:21.583,person,0.76,132,58,639,477
2026-08-22 00:12:21.644,person,0.77,130,58,638,478
2026-08-22 00:12:21.708,person,0.73,127,58,636,478
2026-08-22 00:12:21.772,person,0.73,127,58,636,478
2026-08-22 00:12:21.827,person,0.68,122,61,634,477
2026-08-22 00:12:21.895,person,0.67,154,38,630,479
2026-08-22 00:12:21.956,person,0.74,151,61,636,477
2026-08-22 00:12:22.024,person,0.77,158,62,637,478
2026-08-22 00:12:22.095,person,0.78,161,61,639,478
2026-08-22 00:12:22.158,person,0.78,161,61,639,478
2026-08-22 00:12:22.222,person,0.78,161,61,639,478
2026-08-22 00:12:22.288,person,0.82,146,62,638,478
2026-08-22 00:12:22.288,baseball bat,0.44,236,138,309,280
2026-08-22 00:12:22.289,baseball bat,0.29,190,149,272,276
